number,title,labels,milestone,body
1,Set up repository structure and README,"type:setup,priority:must",M1 Ethics,"Create docs/ src/ tests/ notebooks/ data/ results/ with a README in each. README.md is the Start Here document. Acceptance: a new reader can find the plan, the code and the results from the front page."
2,Write scope statement and MoSCoW requirements,"type:writing,priority:must",M1 Ethics,"One page of scope plus a prioritised requirements list. Acceptance: both committed to docs/01-planning and approved at supervision."
3,Draft and submit the ethics form,"type:admin,priority:must",M1 Ethics,"Low-risk secondary data submission. Acceptance: submitted by 28 October, two days before the 30 October deadline, confirmation filed in docs/04-ethics."
4,Implement dataset loaders with a canonical schema,"type:setup,priority:must",M2 Feasibility baseline,"Every corpus loads as text / label / source. Acceptance: both corpora load, tests cover the schema and the missing-file error."
5,Record dataset provenance and checksums instead of committing data,"type:setup,priority:must",M2 Feasibility baseline,"Large file push was rejected; Git LFS evaluated and rejected. Acceptance: data/README.md records source, licence and SHA-256 for each file, and frd.download reproduces the directory."
6,Produce descriptive statistics for both corpora,"type:experiment,priority:should",M3 D1,"Label balance, review length, vocabulary size. Acceptance: table in D1 section 6."
7,Complete the reading list in literature.md,"type:writing,priority:must",M3 D1,"Thirteen papers with citation, venue, dataset, method, reported score and a critique. Acceptance: synthesis table complete."
8,Draft the literature review,"type:writing,priority:must",M3 D1,"1200 words first pass. Acceptance: committed to docs/02-research."
9,Restructure the literature review thematically,"type:writing,priority:must",M3 D1,"Feedback 15 Oct: too descriptive, paper by paper. Acceptance: three themes plus the synthesis table, ~2400 words."
12,Build the preprocessing pipeline,"type:setup,priority:must",M2 Feasibility baseline,"Cleaning, deduplication, stratified 70/15/15 split at a fixed seed. Acceptance: one command regenerates every split; determinism covered by a test."
14,TF-IDF + Logistic Regression baseline,"type:experiment,priority:must",M2 Feasibility baseline,"Hypothesis: within-dataset macro-F1 above 0.85 on the crowdsourced corpus. NOTE: vectoriser must be fitted inside the CV fold. Acceptance: a row in results.csv."
15,Linear SVM baseline,"type:experiment,priority:must",M2 Feasibility baseline,"Same protocol as #14. Acceptance: a row in results.csv."
16,Random Forest baseline,"type:experiment,priority:must",M2 Feasibility baseline,"Same protocol as #14. Acceptance: a row in results.csv."
17,Switch reporting to macro-F1 with per-class metrics,"type:experiment,priority:must",M2 Feasibility baseline,"Supervisor 29 Oct: accuracy is the wrong headline on a not-quite-balanced split. Acceptance: every row carries macro-F1, per-class precision and recall, confusion matrix, commit hash and seed."
